126,127,127,127,127,127,127,127,127,127,127,127,476,478,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128
147,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,497,477,457,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,127,127,127,128,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,148,128,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,149,155,155,155,152,152,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,126,169,169,170,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0
147,155,155,155,155,155,147,155,155,155,155,155,155,152,152,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,147,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,155,152,152,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
147,155,155,155,155,155,155,155,155,155,155,155,155,476,478,155,155,155,155,155,155,155,155,155,155,155,155,155,155,149
168,169,169,169,169,169,169,169,169,169,169,169,169,476,478,169,169,169,169,169,169,169,169,169,169,169,169,169,169,170
